MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA,price_per_sqft,tax_price_ratio,HOA_category
21300209,1900000.0,85718,-110.931119,32.290474,1.08,26642.7,2008-01-01,5,8.0,7831.0,4.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",0.0,"Carpet, Natural Stone, Wood",0.0,242.6254629038437,0.014022473684210527,No HOA
21911058,2110000.0,85718,-110.951287,32.347679,2.66,20530.88,2012-01-01,4,7.0,7150.0,4.0,"Dishwasher, Double Sink, Freezer, Gas Range, Island, Pantry: Walk-In, Refrigerator, Warming Drawer, Water Purifier, Appliance Color: Stainless, Countertops: Granite, Microwave: wolf, Oven: wolf",4.0,"Carpet, Natural Stone, Vinyl",188.0,295.1048951048951,0.009730274881516588,Medium
21824716,2331000.0,85718,-110.941781,32.35081,1.26,6656.2,2018-01-01,4,6.0,5550.0,4.0,"Dishwasher, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Water Purifier, Appliance Color: Stainless, Countertops: quartz",1.0,Ceramic Tile,169.0,420.0,0.0028555126555126556,Medium
21512684,2200000.0,85755,-110.969086,32.462364,3.16,26641.26,2002-01-01,4,7.0,7280.0,3.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",5.0,"Carpet, Natural Stone, Wood",124.0,302.1978021978022,0.012109663636363635,Medium
21707019,2296443.0,85658,-111.096171,32.467398,0.91,1896.71,2018-01-01,3,4.0,4850.0,3.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator",2.0,"Carpet, Natural Stone",550.0,473.49340206185565,0.0008259338463876526,High
21605559,2197500.0,85750,-110.860852,32.330665,1.14,7292.0,2016-01-01,6,6.0,6202.0,4.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Natural Stone",220.0,354.32118671396324,0.003318316268486917,Medium
21602043,1800000.0,85750,-110.84556,32.327714,1.32,20206.0,2002-01-01,4,7.0,6800.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4.0,"Carpet, Wood, Other",142.0,264.70588235294116,0.011225555555555556,Medium
21633384,1950000.0,85755,-110.992676,32.464204,1.18,21063.0,2002-01-01,4,6.0,6622.0,6.0,"Dishwasher, Double Sink, Freezer, Garbage Disposal, Gas Range, Indoor Grill, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Wet Bar, Appliance Color: Stainless, Countertops: Marble & Granite",3.0,"Carpet, Natural Stone, Other: Brick Pavers",213.0,294.47296889157354,0.010801538461538461,Medium
21521984,2037500.0,85718,-110.91839,32.343176,3.26,32442.22,2003-01-01,3,5.0,9630.0,4.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Natural Stone",421.0,211.57840083073728,0.015922561963190186,High
21704772,1920000.0,85718,-110.910653,32.338271,1.27,24316.0,1997-01-01,5,6.0,7132.0,3.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Natural Stone",422.0,269.20919798093104,0.012664583333333333,High
21419075,1999500.0,85718,-110.942588,32.349069,1.09,15250.76,2002-01-01,4,5.0,5795.0,4.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",4.0,"Carpet, Natural Stone",153.0,345.0388265746333,0.007627286821705426,Medium
21601233,1750000.0,85718,-110.877379,32.331167,1.31,10956.02,1994-01-01,4,6.0,4907.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4.0,"Carpet, Natural Stone",258.0,356.6333808844508,0.006260582857142857,Medium
21317132,2117552.0,85658,-111.092958,32.472956,0.63,1340.87,2014-01-01,3,4.0,3276.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Natural Stone",550.0,646.3833943833944,0.000633217035520261,High
21706549,1995000.0,85750,-110.860305,32.323825,1.15,3292.0,2017-01-01,6,6.0,6107.0,4.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Prep Sink, Refrigerator",3.0,Natural Stone,55.0,326.67430817095135,0.001650125313283208,Low
21500672,1775000.0,85658,-111.095814,32.471097,0.46,14748.57,2008-01-01,5,6.0,5349.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",5.0,"Carpet, Natural Stone, Wood",550.0,331.8377266778837,0.00830905352112676,High
21427645,1600000.0,85750,-110.864694,32.331871,1.04,14202.0,1994-01-01,5,8.0,6677.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",0.0,"Carpet, Concrete, Natural Stone, Wood",220.0,239.62857570765314,0.00887625,Medium
21513759,1995000.0,85718,-110.912989,32.341088,1.88,27781.84,2004-01-01,4,6.0,6236.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",5.0,"Natural Stone, Wood",422.0,319.91661321359845,0.0139257343358396,High
21229338,1800000.0,85712,-110.883315,32.261069,2.1,23156.58,2001-01-01,9,8.0,10258.0,4.0,"Dishwasher, Garbage Disposal, Oven",6.0,"Carpet, Natural Stone, Wood, Other",0.0,175.47280171573405,0.012864766666666668,No HOA
